ID,Mass,MassUpper,MassLower,Width,WidthUpper,WidthLower,I,G,P,C,Anti,Charge,Rank,Status,Name,Quarks
13324,1823,5,5,24,15,10,2-Jan,5,-1,5,1,0,3,1,Xi(1820),uss
-13324,1823,5,5,24,15,10,2-Jan,5,1,5,1,0,3,1,Xi(1820),USS
14122,2592.25,0.28,0.28,2.6,0.6,0.6,0,5,-1,5,1,3,3,0,Lambda(c)(2595),udc
-14122,2592.25,0.28,0.28,2.6,0.6,0.6,0,5,1,5,1,-3,3,0,Lambda(c)(2595),UDC
20113,1230,40,40,420,180,180,1,-1,1,1,0,0,0,0,a(1)(1260),(uU-dD)/sqrt(2)
20213,1230,40,40,420,180,180,1,-1,1,5,2,3,0,0,a(1)(1260),uD
-20213,1230,40,40,420,180,180,1,-1,1,5,2,-3,0,0,a(1)(1260),Ud
20223,1281.9,0.5,0.5,22.7,1.1,1.1,0,1,1,1,0,0,0,0,f(1)(1285),x(uU+dD)+y(sS)
20313,1403,7,7,174,13,13,2-Jan,5,1,5,1,0,0,0,K(1)(1400),dS
-20313,1403,7,7,174,13,13,2-Jan,5,1,5,1,0,0,0,K(1)(1400),Ds
20315,1819,12,12,264,34,34,2-Jan,5,-1,5,1,0,0,0,K(2)(1820),dS
-20315,1819,12,12,264,34,34,2-Jan,5,-1,5,1,0,0,0,K(2)(1820),Ds
